real_1,est_1,real_2,est_2,real_1∪2,est_1∪2,real_1∩2,est_1∩2,real_jaccard,est_jaccard,jaccard_error
200020, 200025, 200020, 200125, 400000, 399996, 40, 39, 1.0E-4, 9.885655913269845E-5,1.143440867301554
200020, 200025, 200020, 200123, 400000, 399995, 40, 39, 1.0E-4, 9.885683059509066E-5,1.143169404909343
200040, 200049, 200040, 200140, 400000, 399999, 80, 80, 2.0E-4, 2.0045803287511738E-4,-0.2290164375586852
200020, 200026, 200020, 200128, 400000, 400001, 40, 40, 1.0E-4, 1.0160145866742822E-4,-1.6014586674282165
200040, 200046, 200040, 200143, 400000, 399998, 80, 80, 2.0E-4, 2.004585833344775E-4,-0.22929166723874217
200040, 200040, 200040, 200138, 400000, 399988, 80, 76, 2.0E-4, 1.9222478216813078E-4,3.8876089159346137
200040, 200045, 200040, 200138, 400000, 399990, 80, 80, 2.0E-4, 2.00461886154125E-4,-0.23094307706249076
200040, 200044, 200040, 200143, 400000, 399995, 80, 76, 2.0E-4, 1.922216150460096E-4,3.889192476995201
200060, 200070, 200060, 200157, 400000, 399994, 120, 123, 3.0E-4, 3.0755542862791836E-4,-2.5184762093061295
200060, 200070, 200060, 200159, 400000, 399995, 120, 119, 3.0E-4, 2.9931651485735786E-4,0.2278283808807057
200060, 200062, 200060, 200155, 400000, 399983, 120, 116, 3.0E-4, 2.910864389418733E-4,2.97118701937555
200060, 200060, 200060, 200160, 400000, 399988, 120, 120, 3.0E-4, 3.020675148356341E-4,-0.689171611878035
200060, 200061, 200060, 200157, 400000, 399983, 120, 118, 3.0E-4, 2.9657863590304076E-4,1.1404546989864046
200080, 200083, 200080, 200180, 400000, 399994, 160, 160, 4.0E-4, 4.0092046946139356E-4,-0.23011736534838625
200080, 200087, 200080, 200177, 400000, 399998, 160, 159, 4.0E-4, 3.981711586780718E-4,0.4572103304820613
200080, 200090, 200080, 200175, 400000, 399999, 160, 160, 4.0E-4, 4.0091606575023476E-4,-0.2290164375586852
200080, 200083, 200080, 200175, 400000, 399994, 160, 160, 4.0E-4, 4.0092046946139356E-4,-0.23011736534838625
200080, 200077, 200080, 200173, 400000, 399982, 160, 148, 4.0E-4, 3.7072431292427336E-4,7.318921768931664
200100, 200107, 200100, 200189, 400000, 399983, 200, 197, 5.0E-4, 4.942977265050679E-4,1.1404546989864224
200100, 200104, 200100, 200193, 400000, 399984, 200, 202, 5.0E-4, 5.052807328767499E-4,-1.0561465753499863
200100, 200105, 200100, 200191, 400000, 399984, 200, 193, 5.0E-4, 4.833120053603695E-4,3.3375989279261034
200100, 200101, 200100, 200204, 400000, 399990, 200, 203, 5.0E-4, 5.080198484727824E-4,-1.6039696945564872
200100, 200105, 200100, 200198, 400000, 399992, 200, 202, 5.0E-4, 5.052724077328647E-4,-1.0544815465729365
200120, 200117, 200120, 200224, 400000, 399987, 240, 242, 6.0E-4, 6.068827645294873E-4,-1.1471274215812335
200120, 200128, 200120, 200216, 400000, 399990, 240, 236, 6.0E-4, 5.904014455224229E-4,1.5997590795961685
200120, 200123, 200120, 200224, 400000, 399993, 240, 237, 6.0E-4, 5.931442411460865E-4,1.1426264756522442
200140, 200143, 200140, 200234, 400000, 399987, 280, 283, 7.0E-4, 7.084875712606685E-4,-1.2125101800954987
200120, 200127, 200120, 200213, 400000, 399987, 240, 243, 6.0E-4, 6.096288403870868E-4,-1.604806731181146
200120, 200117, 200120, 200220, 400000, 399986, 240, 235, 6.0E-4, 5.876618472903022E-4,2.056358784949621
200140, 200140, 200140, 200227, 400000, 399979, 280, 274, 7.0E-4, 6.86530275985171E-4,1.9242462878327136
200140, 200142, 200140, 200237, 400000, 399989, 280, 278, 7.0E-4, 6.97499437057541E-4,0.35722327749414845
200140, 200139, 200140, 200239, 400000, 399990, 280, 284, 7.0E-4, 7.112277878618954E-4,-1.6039696945564934
200140, 200146, 200140, 200232, 400000, 399988, 280, 283, 7.0E-4, 7.084856257053963E-4,-1.212232243628038
200160, 200159, 200160, 200257, 400000, 399993, 320, 319, 8.0E-4, 7.990971026551443E-4,0.11286216810696945
200160, 200176, 200160, 200259, 400000, 400010, 320, 332, 8.0E-4, 8.320175739685591E-4,-4.002196746069882
200160, 200160, 200160, 200257, 400000, 399998, 320, 310, 8.0E-4, 7.771202614199607E-4,2.859967322504914
200160, 200154, 200160, 200255, 400000, 399986, 320, 324, 8.0E-4, 8.100946025730801E-4,-1.2618253216350088
200160, 200161, 200160, 200253, 400000, 399989, 320, 316, 8.0E-4, 7.90865503435322E-4,1.141812070584749
200180, 200183, 200180, 200272, 400000, 399988, 360, 363, 9.0E-4, 9.089486128235899E-4,-0.9942903137322094
200180, 200187, 200180, 200280, 400000, 400001, 360, 371, 9.0E-4, 9.281430548538038E-4,-3.1270060948670886
200180, 200178, 200180, 200271, 400000, 399981, 360, 355, 9.0E-4, 8.897407943408091E-4,1.1399117399100926
200200, 200176, 200200, 200288, 400000, 399954, 400, 391, 0.001, 9.77675494124335E-4,2.2324505875664924
200180, 200180, 200180, 200265, 400000, 399975, 360, 359, 9.0E-4, 8.979914649618559E-4,0.2231705597937849
200200, 200176, 200200, 200288, 400000, 399954, 400, 391, 0.001, 9.77675494124335E-4,2.2324505875664924
200180, 200180, 200180, 200270, 400000, 399983, 360, 362, 9.0E-4, 9.062124985926245E-4,-0.6902776214027287
200200, 200215, 200200, 200289, 400000, 399989, 400, 403, 0.001, 0.0010078043047248722,-0.7804304724872215
200200, 200202, 200200, 200305, 400000, 399996, 400, 396, 0.001, 9.913116068584484E-4,0.8688393141551617
200200, 200210, 200200, 200300, 400000, 400001, 400, 398, 0.001, 9.967926890885525E-4,0.3207310911447492
250025, 249878, 250025, 250230, 500000, 500072, 50, 51, 1.0E-4, 1.0338937337049358E-4,-3.389373370493571
250025, 249870, 250025, 250231, 500000, 500065, 50, 55, 1.0E-4, 1.1013364380531968E-4,-10.133643805319675
250025, 249875, 250025, 250230, 500000, 500071, 50, 52, 1.0E-4, 1.0563720587342865E-4,-5.637205873428643
250025, 249875, 250025, 250232, 500000, 500072, 50, 50, 1.0E-4, 1.0114177829722197E-4,-1.1417782972219668
250025, 249875, 250025, 250230, 500000, 500071, 50, 52, 1.0E-4, 1.0563720587342865E-4,-5.637205873428643
250050, 249893, 250050, 250240, 500000, 500056, 100, 95, 2.0E-4, 1.9105116350158572E-4,4.474418249207144
250050, 249899, 250050, 250250, 500000, 500071, 100, 100, 2.0E-4, 2.0003641112202445E-4,-0.018205561012221247
250050, 249897, 250050, 250241, 500000, 500061, 100, 100, 2.0E-4, 2.0004000800160032E-4,-0.02000400080015552
250050, 249900, 250050, 250250, 500000, 500075, 100, 101, 2.0E-4, 2.02282647295481E-4,-1.1413236477404927
250075, 249919, 250075, 250270, 500000, 500056, 150, 146, 3.0E-4, 2.9219589712007227E-4,2.601367626642568
250075, 249924, 250075, 250267, 500000, 500059, 150, 147, 3.0E-4, 2.944422342546453E-4,1.8525885817848864
250050, 249901, 250050, 250247, 500000, 500071, 100, 102, 2.0E-4, 2.045316113719576E-4,-2.2658056859787954
250075, 249923, 250075, 250272, 500000, 500062, 150, 149, 3.0E-4, 2.9893551983313553E-4,0.3548267222881474
250075, 249919, 250075, 250267, 500000, 500053, 150, 139, 3.0E-4, 2.787111855339904E-4,7.096271488669854
250075, 249925, 250075, 250264, 500000, 500056, 150, 143, 3.0E-4, 2.877005756259173E-4,4.099808124694218
250100, 249938, 250100, 250284, 500000, 500046, 200, 188, 4.0E-4, 3.776137954906619E-4,5.59655112733453
250100, 249953, 250100, 250282, 500000, 500057, 200, 203, 4.0E-4, 4.0682568081491007E-4,-1.7064202037275131
250100, 249944, 250100, 250285, 500000, 500050, 200, 191, 4.0E-4, 3.821066212334402E-4,4.473344691639959
250100, 249934, 250100, 250291, 500000, 500050, 200, 192, 4.0E-4, 3.843543072406957E-4,3.9114231898260745
250100, 249952, 250100, 250281, 500000, 500055, 200, 195, 4.0E-4, 3.910938490377743E-4,2.226537740556431
250125, 249971, 250125, 250306, 500000, 500048, 250, 251, 5.0E-4, 5.034827972964772E-4,-0.6965594592954353
250125, 249967, 250125, 250308, 500000, 500047, 250, 248, 5.0E-4, 4.967408406383457E-4,0.6518318723308658
250125, 249980, 250125, 250312, 500000, 500069, 250, 254, 5.0E-4, 5.079599116239659E-4,-1.591982324793172
250125, 249977, 250125, 250308, 500000, 500060, 250, 255, 5.0E-4, 5.102155492122002E-4,-2.0431098424400367
250125, 249964, 250125, 250317, 500000, 500057, 250, 250, 5.0E-4, 5.0122722000953E-4,-0.24544400190600751
250150, 249999, 250150, 250338, 500000, 500060, 300, 301, 6.0E-4, 6.023690184531703E-4,-0.3948364088617185
